     beta1    lambda1      beta2    lambda2     gamma1         K1         h1     gamma2         K2         h2
    1.0634    -1.6493     1.3509    -1.6070    -1.0166     0.7165     0.2833   -13.5261     2.1217     0.3047
    1.0531    -1.6573     1.3520    -1.6006    -1.0184     0.7101     0.2782   -16.6341     2.1318     0.3125
    1.0506    -1.6606     1.3588    -1.5887    -1.0208     0.7090     0.2746   -11.6010     2.1436     0.3215
    1.0539    -1.6530     1.3488    -1.6077    -1.0103     0.7083     0.2870   -17.6750     2.1234     0.3070
    1.0512    -1.6595     1.3548    -1.5963    -1.0184     0.7119     0.2781   -15.2675     2.1336     0.3163
    1.0588    -1.6546     1.3529    -1.6002    -1.0184     0.7166     0.2790   -15.8435     2.1307     0.3144
    1.0473    -1.6610     1.3505    -1.6011    -1.0127     0.7078     0.2809   -12.1428     2.1349     0.3169
    1.0534    -1.6591     1.3509    -1.5983    -1.0234     0.7113     0.2750   -14.2633     2.1389     0.3171
    1.0551    -1.6569     1.3539    -1.5981    -1.0210     0.7151     0.2781   -11.5313     2.1302     0.3142
    1.0550    -1.6554     1.3493    -1.6046    -1.0170     0.7126     0.2796   -11.8925     2.1292     0.3111
    1.0576    -1.6534     1.3561    -1.5952    -1.0197     0.7127     0.2769   -19.5442     2.1333     0.3157
    1.0576    -1.6526     1.3515    -1.6018    -1.0169     0.7123     0.2789   -12.3896     2.1291     0.3134
    1.0560    -1.6549     1.3462    -1.6144    -1.0123     0.7134     0.2860   -13.3907     2.1176     0.3007
    1.0520    -1.6589     1.3526    -1.5955    -1.0216     0.7088     0.2743   -13.1146     2.1413     0.3201
    1.0536    -1.6577     1.3447    -1.6113    -1.0162     0.7122     0.2827   -13.0371     2.1250     0.3069
    1.0532    -1.6572     1.3497    -1.6054    -1.0169     0.7117     0.2817   -15.4800     2.1273     0.3078
    1.0523    -1.6590     1.3554    -1.5950    -1.0215     0.7129     0.2777   -11.6563     2.1335     0.3152
    1.0585    -1.6505     1.3483    -1.6129    -1.0088     0.7126     0.2884   -12.2396     2.1156     0.3008
    1.0610    -1.6465     1.3484    -1.6110    -1.0086     0.7108     0.2884   -12.7790     2.1188     0.3041
    1.0556    -1.6546     1.3506    -1.6037    -1.0156     0.7125     0.2803   -13.6316     2.1289     0.3112
    1.0527    -1.6581     1.3506    -1.6035    -1.0160     0.7116     0.2809   -13.9359     2.1294     0.3109
    1.0530    -1.6580     1.3472    -1.6050    -1.0187     0.7122     0.2780   -12.0527     2.1318     0.3144
    1.0503    -1.6602     1.3520    -1.5992    -1.0197     0.7096     0.2761   -10.9215     2.1342     0.3154
    1.0555    -1.6542     1.3497    -1.6063    -1.0148     0.7126     0.2824   -21.1998     2.1247     0.3081
    1.0526    -1.6575     1.3510    -1.6060    -1.0154     0.7126     0.2850   -15.7730     2.1221     0.3042
    1.0609    -1.6490     1.3498    -1.6098    -1.0115     0.7150     0.2859   -22.5371     2.1179     0.3038
    1.0602    -1.6529     1.3500    -1.6035    -1.0209     0.7162     0.2770   -13.8483     2.1291     0.3123
    1.0449    -1.6639     1.3492    -1.6054    -1.0138     0.7100     0.2848   -11.6736     2.1264     0.3107
    1.0610    -1.6479     1.3439    -1.6142    -1.0118     0.7122     0.2865   -14.4882     2.1199     0.3063
    1.0496    -1.6581     1.3533    -1.6006    -1.0119     0.7085     0.2833   -12.0944     2.1289     0.3126
    1.0571    -1.6565     1.3513    -1.6009    -1.0222     0.7157     0.2777   -15.1244     2.1309     0.3129
    1.0655    -1.6482     1.3537    -1.6000    -1.0209     0.7178     0.2781   -16.5360     2.1275     0.3134
    1.0572    -1.6544     1.3542    -1.5942    -1.0235     0.7093     0.2719   -12.2254     2.1421     0.3182
    1.0480    -1.6603     1.3509    -1.6045    -1.0127     0.7069     0.2844   -18.3677     2.1283     0.3077
    1.0586    -1.6520     1.3513    -1.6042    -1.0163     0.7138     0.2814   -20.5336     2.1257     0.3079
    1.0584    -1.6537     1.3499    -1.6054    -1.0163     0.7156     0.2801   -12.5410     2.1264     0.3093
    1.0548    -1.6569     1.3611    -1.5852    -1.0256     0.7103     0.2724   -15.0277     2.1441     0.3208
    1.0597    -1.6529     1.3515    -1.6051    -1.0169     0.7140     0.2833   -13.0498     2.1254     0.3043
    1.0554    -1.6548     1.3480    -1.6085    -1.0159     0.7116     0.2838   -12.7719     2.1240     0.3055
    1.0638    -1.6472     1.3493    -1.6064    -1.0159     0.7155     0.2818   -14.4614     2.1242     0.3098
    1.0534    -1.6576     1.3492    -1.6067    -1.0147     0.7126     0.2839   -14.4522     2.1262     0.3082
    1.0593    -1.6520     1.3518    -1.6035    -1.0166     0.7154     0.2812   -16.3781     2.1254     0.3095
    1.0588    -1.6530     1.3508    -1.6050    -1.0175     0.7150     0.2813   -13.9870     2.1241     0.3076
    1.0536    -1.6548     1.3477    -1.6087    -1.0126     0.7104     0.2853   -11.7812     2.1235     0.3074
    1.0530    -1.6595     1.3560    -1.5962    -1.0224     0.7123     0.2800   -17.4880     2.1318     0.3104
    1.0767    -1.6366     1.3538    -1.6030    -1.0186     0.7211     0.2805   -11.5854     2.1206     0.3086
    1.0567    -1.6534     1.3452    -1.6127    -1.0121     0.7132     0.2842   -16.7253     2.1220     0.3061
    1.0518    -1.6613     1.3515    -1.6034    -1.0196     0.7130     0.2813   -12.1436     2.1289     0.3065
    1.0574    -1.6549     1.3515    -1.6004    -1.0206     0.7131     0.2762   -11.7065     2.1333     0.3145
